,time,open,high,low,close,tick_volume,spread,real_volume
11682,1569873600,108.115,108.145,108.071,108.077,2847,1,0
11683,1569880800,108.077,108.103,108.051,108.059,1729,1,0
11684,1569888000,108.06,108.227,108.044,108.198,5664,1,0
11685,1569895200,108.197,108.265,108.186,108.258,3408,1,0
11686,1569902400,108.258,108.296,108.175,108.178,3958,1,0
11687,1569909600,108.18,108.432,108.167,108.346,6597,1,0
11688,1569916800,108.345,108.472,108.323,108.35,6675,1,0
11689,1569924000,108.35,108.377,108.226,108.353,3799,1,0
11690,1569931200,108.354,108.452,108.268,108.381,7251,1,0
11691,1569938400,108.381,108.381,107.65,107.71,24382,50,0
11692,1569945600,107.709,107.759,107.628,107.701,10939,1,0
11693,1569952800,107.701,107.782,107.649,107.707,7728,1,0
11694,1569960000,107.709,107.762,107.678,107.758,2228,1,0
11695,1569967200,107.759,107.763,107.698,107.748,3334,1,0
11696,1569974400,107.748,107.763,107.644,107.732,5861,1,0
11697,1569981600,107.733,107.892,107.702,107.875,4062,1,0
11698,1569988800,107.875,107.881,107.785,107.801,3620,1,0
11699,1569996000,107.801,107.843,107.549,107.679,9185,1,0
11700,1570003200,107.679,107.734,107.572,107.646,7528,1,0
11701,1570010400,107.646,107.693,107.495,107.531,6202,1,0
11702,1570017600,107.53,107.604,107.365,107.42,12600,50,0
11703,1570024800,107.419,107.485,107.148,107.213,15547,1,0
11704,1570032000,107.213,107.256,107.046,107.099,9464,1,0
11705,1570039200,107.098,107.231,107.087,107.206,8306,1,0
11706,1570046400,107.208,107.213,107.128,107.155,3954,1,0
11707,1570053600,107.155,107.211,107.149,107.163,12621,1,0
11708,1570060800,107.165,107.169,106.965,107.124,8481,1,0
11709,1570068000,107.123,107.191,107.096,107.159,3754,1,0
11710,1570075200,107.158,107.19,107.108,107.133,3550,1,0
11711,1570082400,107.135,107.298,107.085,107.229,10331,1,0
11712,1570089600,107.228,107.271,107.051,107.152,6899,1,0
11713,1570096800,107.15,107.207,106.871,106.918,6336,1,0
11714,1570104000,106.917,107.124,106.91,107.047,12241,1,0
11715,1570111200,107.045,107.045,106.483,106.759,30466,1,0
11716,1570118400,106.76,106.965,106.76,106.865,11604,1,0
11717,1570125600,106.865,106.913,106.804,106.864,5281,1,0
11718,1570132800,106.865,106.921,106.832,106.878,2402,1,0
11719,1570140000,106.879,106.927,106.816,106.832,4170,1,0
11720,1570147200,106.833,106.912,106.797,106.801,5536,1,0
11721,1570154400,106.801,106.823,106.745,106.77,2551,1,0
11722,1570161600,106.772,106.85,106.752,106.822,2776,1,0
11723,1570168800,106.827,106.833,106.731,106.77,7483,1,0
11724,1570176000,106.771,106.803,106.742,106.743,4497,1,0
11725,1570183200,106.744,106.788,106.647,106.717,4572,1,0
11726,1570190400,106.717,107.136,106.548,107.068,22124,1,0
11727,1570197600,107.068,107.127,106.811,106.912,13379,1,0
11728,1570204800,106.912,106.93,106.815,106.895,4992,1,0
11729,1570212000,106.897,106.93,106.827,106.836,5516,1,0
11730,1570219200,106.836,106.919,106.833,106.916,634,1,0
11731,1570392000,106.682,106.739,106.655,106.675,673,1,0
11732,1570399200,106.675,106.855,106.672,106.76,7122,1,0
11733,1570406400,106.761,106.825,106.69,106.818,6145,1,0
11734,1570413600,106.818,106.848,106.791,106.825,2363,1,0
11735,1570420800,106.827,106.904,106.825,106.882,2941,1,0
11736,1570428000,106.882,106.943,106.808,106.849,6003,1,0
11737,1570435200,106.849,106.897,106.775,106.79,4682,1,0
11738,1570442400,106.791,106.901,106.779,106.843,3762,1,0
11739,1570449600,106.842,106.979,106.801,106.947,6112,1,0
11740,1570456800,106.948,107.074,106.909,107.065,8051,1,0
11741,1570464000,107.066,107.465,107.042,107.376,11109,1,0
11742,1570471200,107.377,107.395,107.243,107.273,7437,1,0
11743,1570478400,107.274,107.311,107.209,107.229,1360,1,0
11744,1570485600,107.23,107.297,107.203,107.254,2484,1,0
11745,1570492800,107.254,107.411,107.243,107.372,8433,1,0
11746,1570500000,107.371,107.411,107.317,107.374,4254,1,0
11747,1570507200,107.374,107.446,107.358,107.404,3890,1,0
11748,1570514400,107.404,107.432,107.147,107.157,7913,1,0
11749,1570521600,107.156,107.22,107.048,107.063,8016,1,0
11750,1570528800,107.063,107.077,106.806,106.864,11986,1,0
11751,1570536000,106.863,106.979,106.824,106.926,11606,1,0
11752,1570543200,106.927,107.162,106.885,107.057,13833,1,0
11753,1570550400,107.058,107.266,107.048,107.209,7212,1,0
11754,1570557600,107.21,107.299,106.939,107.088,19228,1,0
11755,1570564800,107.089,107.117,107.041,107.071,1923,1,0
11756,1570572000,107.07,107.074,106.934,106.943,3461,1,0
11757,1570579200,106.943,107.151,106.943,107.14,5492,1,0
11758,1570586400,107.141,107.206,107.131,107.17,2458,1,0
11759,1570593600,107.169,107.187,107.112,107.183,2569,1,0
11760,1570600800,107.184,107.294,107.115,107.211,7736,1,0
11761,1570608000,107.212,107.411,107.204,107.342,12728,1,0
11762,1570615200,107.34,107.439,107.296,107.401,5309,1,0
11763,1570622400,107.401,107.415,107.316,107.376,6369,1,0
11764,1570629600,107.376,107.457,107.35,107.436,8185,1,0
11765,1570636800,107.436,107.629,107.436,107.477,6045,1,0
11766,1570644000,107.478,107.572,107.409,107.461,8645,1,0
11767,1570651200,107.462,107.519,107.425,107.464,1565,1,0
11768,1570658400,107.463,107.465,107.036,107.233,15859,1,0
11769,1570665600,107.233,107.775,107.168,107.535,31613,1,0
11770,1570672800,107.536,107.583,107.435,107.47,6179,1,0
11771,1570680000,107.471,107.547,107.442,107.513,3264,1,0
11772,1570687200,107.512,107.551,107.354,107.406,9523,1,0
11773,1570694400,107.406,107.474,107.355,107.389,6559,1,0
11774,1570701600,107.389,107.461,107.365,107.451,5306,1,0
11775,1570708800,107.452,107.868,107.373,107.854,14739,1,0
11776,1570716000,107.854,107.974,107.77,107.919,13776,50,0
